DÍA 	     (X) 	       (Y) 	      (Z) 	      (VX) 	       (VY) 	      (VZ) 
158.665543 	 0.230699 	 -0.978236 	 -0.421899 	 5.926495 	 0.934947 	 0.382938 
159.651047 	 0.246701 	 -0.975712 	 -0.420865 	 5.907508 	 1.015458 	 0.417661 
160.636551 	 0.262651 	 -0.972970 	 -0.419738 	 5.887251 	 1.095575 	 0.452219 
161.622055 	 0.278546 	 -0.970012 	 -0.418517 	 5.865734 	 1.175283 	 0.486605 
162.607544 	 0.294384 	 -0.966839 	 -0.417203 	 5.842967 	 1.254565 	 0.520812 
163.593048 	 0.310160 	 -0.963452 	 -0.415797 	 5.818962 	 1.333407 	 0.554833 
164.578552 	 0.325871 	 -0.959851 	 -0.414299 	 5.793727 	 1.411793 	 0.588662 
165.564056 	 0.341514 	 -0.956040 	 -0.412709 	 5.767275 	 1.489708 	 0.622292 
166.549545 	 0.357086 	 -0.952017 	 -0.411029 	 5.739616 	 1.567136 	 0.655717 
167.535049 	 0.372583 	 -0.947786 	 -0.409259 	 5.710762 	 1.644064 	 0.688930 
168.520554 	 0.388002 	 -0.943347 	 -0.407398 	 5.680723 	 1.720477 	 0.721925 
169.506058 	 0.403340 	 -0.938702 	 -0.405449 	 5.649512 	 1.796361 	 0.754697 
170.491547 	 0.418594 	 -0.933852 	 -0.403412 	 5.617140 	 1.871701 	 0.787238 
171.477051 	 0.433760 	 -0.928798 	 -0.401286 	 5.583619 	 1.946484 	 0.819544 
172.462555 	 0.448836 	 -0.923543 	 -0.399073 	 5.548961 	 2.020697 	 0.851607 
173.448059 	 0.463818 	 -0.918087 	 -0.396774 	 5.513178 	 2.094325 	 0.883423 
174.433548 	 0.478703 	 -0.912432 	 -0.394389 	 5.476282 	 2.167356 	 0.914985 
175.419052 	 0.493489 	 -0.906580 	 -0.391918 	 5.438287 	 2.239778 	 0.946288 
176.404556 	 0.508173 	 -0.900533 	 -0.389363 	 5.399204 	 2.311576 	 0.977327 
177.390060 	 0.522751 	 -0.894292 	 -0.386724 	 5.359046 	 2.382740 	 1.008096 
178.375549 	 0.537220 	 -0.887858 	 -0.384003 	 5.317827 	 2.453256 	 1.038590 
179.361053 	 0.551578 	 -0.881234 	 -0.381198 	 5.275558 	 2.523112 	 1.068803 
180.346558 	 0.565822 	 -0.874422 	 -0.378313 	 5.232254 	 2.592298 	 1.098731 
181.332062 	 0.579949 	 -0.867423 	 -0.375346 	 5.187927 	 2.660801 	 1.128368 
182.317551 	 0.593957 	 -0.860239 	 -0.372299 	 5.142591 	 2.728609 	 1.157710 
183.303040 	 0.607842 	 -0.852871 	 -0.369174 	 5.096259 	 2.795713 	 1.186751 
184.288528 	 0.621602 	 -0.845323 	 -0.365969 	 5.048945 	 2.862100 	 1.215488 
185.274033 	 0.635234 	 -0.837595 	 -0.362688 	 5.000662 	 2.927761 	 1.243914 
186.259521 	 0.648735 	 -0.829690 	 -0.359329 	 4.951424 	 2.992684 	 1.272027 
187.245010 	 0.662104 	 -0.821610 	 -0.355895 	 4.901245 	 3.056860 	 1.299821 
188.230499 	 0.675338 	 -0.813356 	 -0.352385 	 4.850138 	 3.120278 	 1.327291 
189.215988 	 0.688433 	 -0.804932 	 -0.348801 	 4.798119 	 3.182929 	 1.354435 
190.201477 	 0.701388 	 -0.796338 	 -0.345144 	 4.745200 	 3.244802 	 1.381246 
191.186966 	 0.714200 	 -0.787577 	 -0.341415 	 4.691396 	 3.305890 	 1.407723 
192.172455 	 0.726867 	 -0.778651 	 -0.337614 	 4.636722 	 3.366182 	 1.433859 
193.157944 	 0.739386 	 -0.769562 	 -0.333743 	 4.581191 	 3.425669 	 1.459652 
194.143433 	 0.751755 	 -0.760313 	 -0.329802 	 4.524817 	 3.484343 	 1.485098 
195.128922 	 0.763972 	 -0.750905 	 -0.325792 	 4.467616 	 3.542196 	 1.510193 
196.114410 	 0.776035 	 -0.741341 	 -0.321714 	 4.409601 	 3.599218 	 1.534933 
197.099899 	 0.787941 	 -0.731623 	 -0.317570 	 4.350788 	 3.655402 	 1.559314 
198.085388 	 0.799688 	 -0.721754 	 -0.313360 	 4.291190 	 3.710740 	 1.583335 
199.070877 	 0.811274 	 -0.711735 	 -0.309085 	 4.230823 	 3.765224 	 1.606990 
200.056366 	 0.822697 	 -0.701569 	 -0.304746 	 4.169700 	 3.818847 	 1.630277 
201.041855 	 0.833955 	 -0.691258 	 -0.300344 	 4.107838 	 3.871602 	 1.653192 
202.027344 	 0.845047 	 -0.680805 	 -0.295881 	 4.045250 	 3.923481 	 1.675733 
203.012833 	 0.855969 	 -0.670211 	 -0.291356 	 3.981951 	 3.974477 	 1.697896 
203.998322 	 0.866720 	 -0.659480 	 -0.286772 	 3.917956 	 4.024584 	 1.719679 
204.983810 	 0.877298 	 -0.648614 	 -0.282129 	 3.853280 	 4.073795 	 1.741078 
205.969299 	 0.887702 	 -0.637614 	 -0.277428 	 3.787938 	 4.122105 	 1.762091 
206.954788 	 0.897930 	 -0.626485 	 -0.272670 	 3.721944 	 4.169506 	 1.782716 
207.940277 	 0.907979 	 -0.615227 	 -0.267857 	 3.655314 	 4.215994 	 1.802949 
208.925766 	 0.917848 	 -0.603844 	 -0.262989 	 3.588063 	 4.261562 	 1.822788 
209.911255 	 0.927536 	 -0.592338 	 -0.258067 	 3.520205 	 4.306205 	 1.842231 
210.896759 	 0.937041 	 -0.580711 	 -0.253093 	 3.451756 	 4.349918 	 1.861276 
211.882248 	 0.946360 	 -0.568966 	 -0.248068 	 3.382730 	 4.392695 	 1.879920 
212.867737 	 0.955494 	 -0.557106 	 -0.242992 	 3.313143 	 4.434532 	 1.898161 
213.853226 	 0.964439 	 -0.545133 	 -0.237867 	 3.243009 	 4.475424 	 1.915996 
214.838715 	 0.973195 	 -0.533049 	 -0.232694 	 3.172343 	 4.515366 	 1.933425 
215.824203 	 0.981761 	 -0.520857 	 -0.227474 	 3.101161 	 4.554355 	 1.950445 
216.809692 	 0.990134 	 -0.508561 	 -0.222207 	 3.029478 	 4.592385 	 1.967054 
217.795181 	 0.998313 	 -0.496161 	 -0.216896 	 2.957308 	 4.629454 	 1.983250 
218.780670 	 1.006298 	 -0.483662 	 -0.211542 	 2.884667 	 4.665556 	 1.999033 
219.766159 	 1.014087 	 -0.471065 	 -0.206144 	 2.811569 	 4.700690 	 2.014399 
220.751648 	 1.021678 	 -0.458373 	 -0.200705 	 2.738030 	 4.734850 	 2.029348 
221.737137 	 1.029071 	 -0.445589 	 -0.195226 	 2.664064 	 4.768035 	 2.043879 
222.722626 	 1.036264 	 -0.432715 	 -0.189708 	 2.589687 	 4.800240 	 2.057989 
223.708115 	 1.043256 	 -0.419754 	 -0.184151 	 2.514913 	 4.831464 	 2.071677 
224.693604 	 1.050046 	 -0.406710 	 -0.178558 	 2.439758 	 4.861702 	 2.084944 
225.679092 	 1.056633 	 -0.393583 	 -0.172928 	 2.364236 	 4.890954 	 2.097786 
226.664581 	 1.063017 	 -0.380377 	 -0.167264 	 2.288362 	 4.919216 	 2.110203 
227.650070 	 1.069195 	 -0.367095 	 -0.161567 	 2.212152 	 4.946486 	 2.122195 
228.635559 	 1.075168 	 -0.353740 	 -0.155837 	 2.135619 	 4.972763 	 2.133760 
229.621048 	 1.080934 	 -0.340313 	 -0.150076 	 2.058780 	 4.998044 	 2.144897 
230.606537 	 1.086493 	 -0.326819 	 -0.144284 	 1.981648 	 5.022327 	 2.155606 
231.592026 	 1.091844 	 -0.313258 	 -0.138464 	 1.904239 	 5.045612 	 2.165886 
232.577515 	 1.096985 	 -0.299635 	 -0.132616 	 1.826567 	 5.067897 	 2.175736 
233.563004 	 1.101917 	 -0.285952 	 -0.126742 	 1.748647 	 5.089180 	 2.185156 
234.548492 	 1.106638 	 -0.272211 	 -0.120842 	 1.670493 	 5.109461 	 2.194145 
235.533997 	 1.111148 	 -0.258416 	 -0.114918 	 1.592121 	 5.128739 	 2.202703 
236.519485 	 1.115447 	 -0.244568 	 -0.108970 	 1.513546 	 5.147013 	 2.210829 
237.504974 	 1.119534 	 -0.230671 	 -0.103001 	 1.434780 	 5.164283 	 2.218524 
238.490463 	 1.123408 	 -0.216728 	 -0.097011 	 1.355840 	 5.180548 	 2.225787 
239.475952 	 1.127068 	 -0.202740 	 -0.091002 	 1.276740 	 5.195808 	 2.232618 
240.461441 	 1.130516 	 -0.188711 	 -0.084973 	 1.197493 	 5.210063 	 2.239016 
241.446930 	 1.133749 	 -0.174644 	 -0.078928 	 1.118116 	 5.223313 	 2.244982 
242.432419 	 1.136768 	 -0.160541 	 -0.072867 	 1.038621 	 5.235559 	 2.250516 
243.417908 	 1.139572 	 -0.146405 	 -0.066790 	 0.959024 	 5.246800 	 2.255619 
244.403397 	 1.142161 	 -0.132239 	 -0.060700 	 0.879338 	 5.257037 	 2.260289 
245.388885 	 1.144536 	 -0.118045 	 -0.054597 	 0.799579 	 5.266272 	 2.264528 
246.374374 	 1.146694 	 -0.103826 	 -0.048483 	 0.719759 	 5.274504 	 2.268335 
